"age","item","definition","uni_lemma","learned","IPA","length","freq","PAC_assoc","PAT_assoc","PAC_phono_t1","PAT_phono_t1","PAC_phono_t2","PAT_phono_t2","PAC_phono_nt","PAT_phono_nt"
17,13,"buba","bug",0,"bubæ",4,4.927253685,2,NA,0,NA,11,NA,1372,NA
17,14,"guska","goose",0,"ɡuskæ",5,4.317488114,2,NA,0,NA,4,NA,1407,NA
17,15,"jelen",NA,0,"jelɛn",5,NA,NA,NA,0,NA,0,NA,1523,NA
17,16,"koka","hen",0,"kokæ",4,3.912023005,7,NA,8,NA,42,NA,2542,NA
17,17,"konj","horse",0,"koɲ",3,6.843749949,4,NA,0,NA,12,NA,1394,NA
17,18,"kornjača",NA,0,"korɲætʃæ",8,NA,NA,NA,0,NA,0,NA,1773,NA
17,19,"koza","goat",0,"kozæ",4,4.317488114,1,NA,5,NA,18,NA,1296,NA
17,20,"krava","cow",0,"kɾavæ",5,6.49677499,6,NA,2,NA,10,NA,1359,NA
17,21,"krokodil",NA,0,"kɾokodɪl",8,NA,NA,NA,0,NA,0,NA,1898,NA
17,23,"lav","lion",0,"lav",3,6.001414878,2,NA,0,NA,8,NA,1396,NA
17,24,"leptir","butterfly",0,"lɛptɪr",6,4.605170186,0,NA,0,NA,0,NA,1561,NA
17,25,"lisica","fox",0,"lisɪtsæ",7,4.615120517,1,NA,0,NA,2,NA,1555,NA
17,26,"mačka","cat",0,"matʃkæ",6,6.933423026,9,NA,0,NA,1,NA,1451,NA
17,27,"magarac","donkey",0,"maɡɑræts",8,5.017279837,1,NA,0,NA,0,NA,1834,NA
17,28,"majmun","monkey",0,"mɑjmʊn",6,5.940171253,2,NA,0,NA,0,NA,1687,NA
17,29,"medo (igračka)","teddybear",0,"mɛdo",4,1.098612289,NA,NA,2,NA,4,NA,1440,NA
17,30,"medvjed (životinja)",NA,0,"mɛdvjed",7,NA,NA,NA,0,NA,0,NA,1827,NA
17,31,"miš","mouse",0,"miʃ",3,6.086774727,4,NA,0,NA,4,NA,1452,NA
17,32,"mrav",NA,0,"mɾav",4,NA,NA,NA,0,NA,6,NA,1454,NA
17,33,"ovca","sheep",0,"oftsæ",5,5.257495372,1,NA,0,NA,1,NA,1330,NA
17,34,"pas","dog",0,"pas",3,7.332369206,9,NA,0,NA,6,NA,1373,NA
17,35,"patka","duck",0,"patkæ",5,6.411818268,1,NA,0,NA,2,NA,1301,NA
17,36,"pčela","bee",0,"ptʃɛlæ",6,4.691347882,0,NA,0,NA,0,NA,1494,NA
17,37,"pijetao","rooster",0,"pijetæo",7,4.110873864,5,NA,0,NA,0,NA,1656,NA
17,38,"pile","chicken (animal)",0,"pilɛ",4,6.380122537,14,NA,0,NA,1,NA,1412,NA
17,39,"pingvin",NA,0,"piŋɡvɪn",7,NA,NA,NA,0,NA,0,NA,1793,NA
17,40,"prase","pig",0,"pɾasɛ",5,6.003887067,2,NA,0,NA,1,NA,1443,NA
17,41,"ptica","bird",0,"ptitsæ",6,6.593044534,13,NA,0,NA,1,NA,1415,NA
17,43,"riba (animal)","fish (animal)",0,"ɾibæ",4,6.705639095,4,NA,4,NA,14,NA,2682,NA
17,44,"slon","elephant",0,"slon",4,5.918893854,0,NA,0,NA,4,NA,1402,NA
17,45,"sova","owl",0,"sovæ",4,4.406719247,0,NA,1,NA,15,NA,1301,NA
17,46,"srna",NA,0,"srna",4,NA,NA,NA,0,NA,0,NA,1480,NA
17,47,"tigar","tiger",0,"tiɡɑr",5,6.955592608,1,NA,0,NA,0,NA,1506,NA
17,48,"vjeverica","squirrel",0,"vjevɛrɪtsæ",10,4.418840608,1,NA,0,NA,0,NA,2201,NA
17,49,"vrabac","sparrow",0,"vɾabæts",7,2.197224577,0,NA,0,NA,0,NA,1618,NA
17,50,"vuk","wolf",0,"vuk",3,4.672828834,1,NA,0,NA,6,NA,1430,NA
