"age","item","definition","uni_lemma","learned","IPA","length","freq","PAC_assoc","PAT_assoc","PAC_phono_t1","PAT_phono_t1","PAC_phono_t2","PAT_phono_t2","PAC_phono_nt","PAT_phono_nt"
18,1,"organo genitale femminile","vagina",0,"ɔrɡanodʒenitalefemminile",24,0,0,NA,0,NA,0,NA,6477,NA
18,2,"orecchio","ear",0,"orekio",6,5.416100402,3,NA,0,NA,1,NA,1909,NA
18,3,"ombelico","belly button",0,"ombeliko",8,0,NA,NA,0,NA,0,NA,2265,NA
18,4,"occhio","eye",0,"ɔkio",4,5.690359454,4,NA,1,NA,3,NA,1792,NA
18,5,"naso","nose",0,"nazo",4,6.799055862,7,NA,0,NA,4,NA,1749,NA
18,6,"mano","hand",1,"mano",4,7.163172391,4,NA,0,NA,9,NA,1666,NA
18,7,"lingua","tongue",0,"liŋɡwa",6,5.33753808,1,NA,0,NA,0,NA,2023,NA
18,8,"labbra",NA,0,"labra",5,NA,NA,NA,0,NA,2,NA,1778,NA
18,9,"guance",NA,0,"ɡwantʃe",7,NA,NA,NA,0,NA,1,NA,2092,NA
18,10,"gola",NA,0,"ɡɔla",4,NA,NA,NA,0,NA,4,NA,1792,NA
18,11,"ginocchi",NA,0,"dʒinɔkɪ",7,NA,NA,NA,0,NA,0,NA,2207,NA
18,12,"gambe","leg",0,"ɡambe",5,5.620400866,6,NA,0,NA,0,NA,1854,NA
18,13,"faccia","face",0,"fatʃa",5,6.52649486,8,NA,0,NA,3,NA,1743,NA
18,14,"dito","finger",0,"dito",4,6.22059017,2,NA,0,NA,5,NA,1697,NA
18,15,"denti","tooth",0,"dɛntɪ",5,4.418840608,0,NA,0,NA,1,NA,1885,NA
18,17,"capelli","hair",0,"kapɛllɪ",7,7.17395832,5,NA,1,NA,1,NA,2063,NA
18,18,"braccio","arm",0,"bratʃo",6,5.590986981,3,NA,0,NA,3,NA,1838,NA
18,19,"bocca","mouth",0,"boka",4,6.985641818,3,NA,0,NA,6,NA,1778,NA
18,20,"vestito","dress (object)",0,"vestito",7,5.823045895,5,NA,0,NA,0,NA,2029,NA
18,21,"tuta","tracksuit",0,"tuta",4,0,NA,NA,0,NA,8,NA,1752,NA
18,22,"stivali",NA,0,"stivalɪ",7,NA,NA,NA,0,NA,0,NA,2087,NA
18,23,"sciarpa","scarf",0,"ʃarpa",5,4.17438727,1,NA,0,NA,2,NA,1790,NA
18,24,"scarpe","shoe",1,"skarpe",6,5.843544417,3,NA,0,NA,1,NA,1932,NA
18,25,"pigiama","pajamas",0,"pidʒama",7,4.736198448,0,NA,0,NA,0,NA,2107,NA
18,26,"pantofole",NA,0,"pantɔfole",9,NA,NA,NA,0,NA,0,NA,2355,NA
18,27,"pantaloni","pants",0,"pantalonɪ",9,5.993961427,4,NA,0,NA,0,NA,2285,NA
18,28,"pannolino","diaper",0,"pannolino",9,5.087596335,0,NA,0,NA,0,NA,2316,NA
18,29,"occhiali","glasses",0,"okjalɪ",6,5.176149733,1,NA,0,NA,0,NA,1967,NA
18,30,"mutande","underpants",0,"mʊtande",7,2.302585093,NA,NA,0,NA,0,NA,2083,NA
18,31,"maglione","sweater",0,"maʎone",6,4.836281907,3,NA,0,NA,2,NA,1874,NA
18,32,"jeans",NA,0,"dʒins",5,NA,NA,NA,0,NA,0,NA,1894,NA
18,33,"guanti","gloves",0,"ɡwantɪ",6,4.553876892,0,NA,0,NA,1,NA,1973,NA
18,34,"grembiule",NA,0,"ɡrɛmbjʊle",9,NA,NA,NA,0,NA,0,NA,2630,NA
18,35,"gonna","skirt",0,"ɡonna",5,3.583518938,2,NA,0,NA,2,NA,1810,NA
18,36,"giacca","jacket",0,"dʒaka",5,5.192956851,3,NA,0,NA,0,NA,1840,NA
18,37,"collana","necklace",0,"kollana",7,3.850147602,0,NA,0,NA,0,NA,1993,NA
18,38,"cinta",NA,0,"tʃinta",6,NA,NA,NA,0,NA,0,NA,1861,NA
18,39,"cappotto","coat",0,"kapɔto",6,6.182084907,5,NA,0,NA,3,NA,1833,NA
